proxy_price,rounded_lowest_each_way_price,number_of_nights,is_sales_fare,arr_city_name,trip_type,dep_lpf_city_airport_display,dep_airport_name,rounded_lowest_price,lowest_price,dep_city_name,arrival_airport,arr_lpf_city_airport_display,arrival_city,departure_airport,cabin,region_code,arr_airport_name,currency_code,tier_points,tier_points_per_pound
N,229,7,N,Corfu,RT,London (Heathrow),Heathrow,457,456.82,London,CFU,Corfu,CFU,LHR,C,EUK,Ioannis Kapodistrias,GBP,80.0,0.35
N,226,4,N,Athens,RT,London (Heathrow),Heathrow,451,450.92,London,ATH,Athens,ATH,LHR,C,EUK,Athens,GBP,80.0,0.35
N,119,6,N,Frankfurt,RT,London (Heathrow),Heathrow,238,237.62,London,FRA,Frankfurt,FRA,LHR,C,EUK,Frankfurt,GBP,40.0,0.34
N,119,3,N,Frankfurt,RT,London (Heathrow),Heathrow,238,237.62,London,FRA,Frankfurt,FRA,LHR,C,EUK,Frankfurt,GBP,40.0,0.34
N,117,1,N,Gothenburg,RT,London (Heathrow),Heathrow,233,232.82,London,GOT,Gothenburg,GOT,LHR,C,EUK,Gothenburg,GBP,40.0,0.34
N,118,3,N,Dusseldorf,RT,London (Heathrow),Heathrow,235,234.72,London,DUS,Dusseldorf,DUS,LHR,C,EUK,Dusseldorf,GBP,40.0,0.34
N,117,5,N,Dusseldorf,RT,London (Heathrow),Heathrow,233,232.72,London,DUS,Dusseldorf,DUS,LHR,C,EUK,Dusseldorf,GBP,40.0,0.34
Y,117,1,N,Pisa,RT,London (Heathrow),Heathrow,234,233.82,London,PSA,Pisa,PSA,LHR,C,EUK,Pisa,GBP,40.0,0.34
N,119,5,N,Hannover,RT,London (Heathrow),Heathrow,238,237.22,London,HAJ,Hannover (Hannover),HAJ,LHR,C,EUK,Hannover,GBP,40.0,0.34
N,232,1,N,Corfu,RT,London (Heathrow),Heathrow,464,463.82,London,CFU,Corfu,CFU,LHR,C,EUK,Ioannis Kapodistrias,GBP,80.0,0.34
N,117,1,N,Cologne,RT,London (Heathrow),Heathrow,234,233.52,London,CGN,Cologne (Cologne/Bonn),CGN,LHR,C,EUK,Cologne/Bonn,GBP,40.0,0.34
N,117,6,N,Dusseldorf,RT,London (Heathrow),Heathrow,233,232.72,London,DUS,Dusseldorf,DUS,LHR,C,EUK,Dusseldorf,GBP,40.0,0.34
N,119,5,N,Frankfurt,RT,London (Heathrow),Heathrow,238,237.62,London,FRA,Frankfurt,FRA,LHR,C,EUK,Frankfurt,GBP,40.0,0.34
N,119,7,N,Hannover,RT,London (Heathrow),Heathrow,238,237.22,London,HAJ,Hannover (Hannover),HAJ,LHR,C,EUK,Hannover,GBP,40.0,0.34
N,118,2,N,Dusseldorf,RT,London (Heathrow),Heathrow,235,234.72,London,DUS,Dusseldorf,DUS,LHR,C,EUK,Dusseldorf,GBP,40.0,0.34
