proxy_price,rounded_lowest_each_way_price,number_of_nights,is_sales_fare,arr_city_name,trip_type,dep_lpf_city_airport_display,dep_airport_name,rounded_lowest_price,lowest_price,dep_city_name,arrival_airport,arr_lpf_city_airport_display,arrival_city,departure_airport,cabin,region_code,arr_airport_name,currency_code
N,91,7,N,Rhodes,RT,London (Heathrow),Heathrow,182,181.69,London,RHO,Rhodes,RHO,LHR,M,EUK,Rhodes,GBP
N,38,7,N,Riga,RT,London (Heathrow),Heathrow,75,74.59,London,RIX,Riga,RIX,LHR,M,EUK,Riga,GBP
N,332,7,N,Rio de Janeiro,RT,London (Heathrow),Heathrow,663,662.69,London,GIG,Rio de Janeiro (Rio de Janeiro Intl),RIO,LHR,M,SOA,Rio de Janeiro Intl,GBP
N,364,7,N,Riyadh,RT,London (Heathrow),Heathrow,728,727.59,London,RUH,Riyadh,RUH,LHR,M,MDE,King Khalid International,GBP
N,54,7,N,Rome,RT,London (Heathrow),Heathrow,107,106.79,London,FCO,Rome (Fiumicino),ROM,LHR,M,EUK,Fiumicino,GBP
N,76,7,N,Rotterdam,RT,London (City Airport),City Airport,152,151.29,London,RTM,Rotterdam,RTM,LCY,M,EUK,Rotterdam,GBP
N,50,7,N,Salzburg,RT,London (Gatwick),Gatwick,100,99.28,London,SZG,Salzburg,SZG,LGW,M,EUK,Salzburg,GBP
N,256,7,N,San Diego,RT,London (Heathrow),Heathrow,511,510.09,London,SAN,San Diego,SAN,LHR,M,NOA,San Diego International,GBP
N,238,7,N,San Francisco,RT,London (Heathrow),Heathrow,475,474.09,London,SFO,San Francisco,SFO,LHR,M,NOA,San Francisco International,GBP
N,307,7,N,San Jose (Costa Rica),RT,London (Gatwick),Gatwick,614,613.18,London,SJO,San Jose (Costa Rica),SJO,LGW,M,SOA,San Jose,GBP
N,82,7,N,San Sebastian,RT,London (City Airport),City Airport,163,162.89,London,EAS,San Sebastian,EAS,LCY,M,EUK,San Sebastian,GBP
Y,412,7,N,Santiago,RT,London (Heathrow),Heathrow,823,822.99,London,SCL,Santiago,SCL,LHR,M,SOA,Santiago,GBP
N,81,7,N,Santorini (Thira),RT,London (Gatwick),Gatwick,161,160.88,London,JTR,Santorini (Thira),JTR,LGW,M,EUK,Santorini,GBP
N,345,7,N,Sao Paulo,RT,London (Heathrow),Heathrow,690,689.59,London,GRU,Sao Paulo (Guarulhos Intl),SAO,LHR,M,SOA,Guarulhos Intl,GBP
N,41,7,N,Sardinia,RT,London (Gatwick),Gatwick,82,81.48,London,CAG,Sardinia,CAG,LGW,M,EUK,Cagliari,GBP
N,266,7,N,Seattle,RT,London (Heathrow),Heathrow,531,530.09,London,SEA,Seattle (Seattle-Tacoma International),SEA,LHR,M,NOA,Seattle-Tacoma International,GBP
N,42,7,N,Seville,RT,London (Gatwick),Gatwick,83,82.48,London,SVQ,Seville,SVQ,LGW,M,EUK,Seville,GBP
N,275,7,N,Shanghai,RT,London (Heathrow),Heathrow,549,548.49,London,PVG,Shanghai (Shanghai Pudong),SHA,LHR,M,FEA,Shanghai Pudong,GBP
